From,To,Distance
"Norfolk, Virginia, United States","Montreal, Canada",1700
"Norfolk, Virginia, United States","Nassau, Bahamas",758
"Norfolk, Virginia, United States","Nassau, Bahamas",758
"Norfolk, Virginia, United States","Nuevitas, Cuba",1076
"Norfolk, Virginia, United States","Panama, Panama",1825
"Norfolk, Virginia, United States","Parrsboro, Canada",784
"Norfolk, Virginia, United States","Pentland Firth, Scotland",3280
"Norfolk, Virginia, United States","Pointe A Pitre, Guadeloupe",1527
"Norfolk, Virginia, United States","Ponta Delgada, Azores",2401
"Norfolk, Virginia, United States","Port Antonio, Jamaica",1228
"Norfolk, Virginia, United States","Port Au Prince, Haiti",1178
"Norfolk, Virginia, United States","Port Castries, St. Lucia",1720
"Norfolk, Virginia, United States","Port Of Spain, Trinidad",1799
"Norfolk, Virginia, United States","Porto Grande, Cape Verde Islands",2971
"Norfolk, Virginia, United States","Porto Grande, Sao Vicente, Cape Verde Islands",2971
"Norfolk, Virginia, United States","Puerto Barrios, Guatemala",1603
"Norfolk, Virginia, United States","Puerto Cortes, Honduras",1568
"Norfolk, Virginia, United States","Punta Arenas, Chile",6900
"Norfolk, Virginia, United States","Recife, Brazil",3651
"Norfolk, Virginia, United States","Reykjavik, Iceland",2677
"Norfolk, Virginia, United States","Rio De Janeiro, Brazil",4723
"Norfolk, Virginia, United States","Salvador, Brazil",4042
"Norfolk, Virginia, United States","San Ciprian, Spain",5230
"Norfolk, Virginia, United States","San Juan Del Norte, Nicaragua",1837
"Norfolk, Virginia, United States","San Juan, Puerto Rico",1252
"Norfolk, Virginia, United States","Santa Cruz De Tenerife, Canary Islands",3057
"Norfolk, Virginia, United States","Santa Marta, Colombia",1588
"Norfolk, Virginia, United States","Santiago De Cuba, Cuba",1167
"Norfolk, Virginia, United States","Santo Domingo, Dominican Republic",1329
"Norfolk, Virginia, United States","Santos, Brazil",4910
"Norfolk, Virginia, United States","Sevilla, Spain",3303
"Norfolk, Virginia, United States","Sint Nicolaashaven, Aruba",1600
"Norfolk, Virginia, United States","St. John, Canada",731
"Norfolk, Virginia, United States","St. John’S, Canada",1277
"Norfolk, Virginia, United States",Strait Of Gibraltar,3335
"Norfolk, Virginia, United States","Straits Of Florida, United States",980
"Norfolk, Virginia, United States","Sydney, Canada",996
"Norfolk, Virginia, United States","Takoradi, Ghana",4620
"Norfolk, Virginia, United States","Vigo, Spain",3099
"Norfolk, Virginia, United States","Willemstad, Curacao",1611
"Norfolk, Virginia, United States","Yarmouth, Canada",656
"Norfolk, Virginia, United States",Yucatan Channel,1165
"Norrkoping, Sweden","Helsinki, Finland",307
"Norrkoping, Sweden","Nord-Ostsee-Kanal, Germany",459
"Norrkoping, Sweden","Riga, Latvia",300
"Norrkoping, Sweden","Skagens Odde, Denmark",520
"Norrkoping, Sweden","Stockholm, Sweden",143
"Nouadhibou, Mauritania","Accra, Ghana",1756
"Nouadhibou, Mauritania","Agadir, Morocco",751
"Nouadhibou, Mauritania","Bishop Rock, England",1812
"Nouadhibou, Mauritania","Boma, Congo",2666
"Nouadhibou, Mauritania","Cape Of Good Hope, South Africa",4379
"Nouadhibou, Mauritania","Casablanca, Morocco",936
"Nouadhibou, Mauritania","Dakar, Senegal",373
"Nouadhibou, Mauritania","Fastnet Rock, Ireland",1865
"Nouadhibou, Mauritania","Freetown, Sierra Leone",850
"Nouadhibou, Mauritania","Galway, Ireland",1979
"Nouadhibou, Mauritania",Grand Banks South,2104
"Nouadhibou, Mauritania","Greenville, Liberia",1166
"Nouadhibou, Mauritania","Ile D’Ouessant, France",1770
"Nouadhibou, Mauritania","Inishtrahull, Ireland",2133
"Nouadhibou, Mauritania","Lisboa, Portugal",1149
"Nouadhibou, Mauritania","Monrovia, Liberia",1061
"Nouadhibou, Mauritania","Panama, Panama",3697
"Nouadhibou, Mauritania","Pentland Firth, Scotland",2437
"Nouadhibou, Mauritania","Port Of Spain, Trinidad",2634
"Nouadhibou, Mauritania","Punta Arenas, Chile",5296
"Nouadhibou, Mauritania","San Pedro, Ivory Coast",1368
"Nouadhibou, Mauritania",Strait Of Gibraltar,1160
"Nouadhibou, Mauritania","Straits Of Florida, United States",3667
"Nouadhibou, Mauritania","Tangier, Morocco",1085
"Nouadhibou, Mauritania","Vigo, Spain",1352
"Nouadhibou, Mauritania",Yucatan Channel,3985
"Nouakchott, Mauritania","Accra, Ghana",1605
"Nouakchott, Mauritania","Bishop Rock, England",2044
"Nouakchott, Mauritania","Boma, Congo",4250
"Nouakchott, Mauritania","Cape Of Good Hope, South Africa",4248
"Nouakchott, Mauritania","Cape Town, South Africa",5547
"Nouakchott, Mauritania","Casablanca, Morocco",1114
"Nouakchott, Mauritania","Dakar, Senegal",217
"Nouakchott, Mauritania","Fastnet Rock, Ireland",2068
"Nouakchott, Mauritania","Freetown, Sierra Leone",699
"Nouakchott, Mauritania","Galway, Ireland",2167
"Nouakchott, Mauritania",Grand Banks South,2275
"Nouakchott, Mauritania","Ile D’Ouessant, France",1971
"Nouakchott, Mauritania","Inishtrahull, Ireland",2335
"Nouakchott, Mauritania","Lagos, Nigeria",1823
"Nouakchott, Mauritania","New York, New York, United States",3256
"Nouakchott, Mauritania","Panama, Panama",3752
"Nouakchott, Mauritania","Pentland Firth, Scotland",2637
"Nouakchott, Mauritania","Port Of Spain, Trinidad",2674
"Nouakchott, Mauritania","Punta Arenas, Chile",5164
"Nouakchott, Mauritania","Qua Iboe, Nigeria",2078
"Nouakchott, Mauritania","Recife, Brazil",1252
"Nouakchott, Mauritania","Sassandra, Ivory Coast",1250
"Nouakchott, Mauritania",Strait Of Gibraltar,1329
"Nouakchott, Mauritania","Straits Of Florida, United States",3777
"Nouakchott, Mauritania","Vigo, Spain",1530
"Nouakchott, Mauritania","Villa Cisneros, Western Sahara",367
"Nouakchott, Mauritania",Yucatan Channel,4052
"Noumea, New Caledonia","Apia, Samoa",1371
"Noumea, New Caledonia","Apra, Guam, Mariana Islands",2528
"Noumea, New Caledonia","Avarua, Cook Islands",1887
"Noumea, New Caledonia","Baie Taio-Hae, Marquesa Islands",3183
"Noumea, New Caledonia",Baker Island,1707
"Noumea, New Caledonia","Bowen, Australia",1342
"Noumea, New Caledonia","Brisbane, Australia",807
"Noumea, New Caledonia","Cairns Harbor, Australia",1250
"Noumea, New Caledonia","Callao, Peru",6541
"Noumea, New Caledonia","Dagu, China",4667
"Noumea, New Caledonia","Dunedin, New Zealand",1552
"Noumea, New Caledonia","Dutch Harbor, Alaska, United States",4857
"Noumea, New Caledonia","Funafuti, Tuvalu",1132
"Noumea, New Caledonia","Guayaquil, Ecuador",6686
"Noumea, New Caledonia","Hakodate, Japan",4176
"Noumea, New Caledonia","Hobart, Tasmania",1604
"Noumea, New Caledonia",Hong Kong,4107
"Noumea, New Caledonia","Honolulu, Hawaii, United States",3371
"Noumea, New Caledonia","Kodiak, Alaska, United States",5281
"Noumea, New Caledonia","Lae, Papua New Guinea",1519
"Noumea, New Caledonia","Levuka, Fiji Islands",776
"Noumea, New Caledonia","Los Angeles, California, United States",5521
"Noumea, New Caledonia","Mackay, Australia",1253
"Noumea, New Caledonia","Malakal, Palau Islands",2612
"Noumea, New Caledonia","Manila, Philippines",3616
"Noumea, New Caledonia",Midway Island,3207
"Noumea, New Caledonia","Nagasaki, Japan",3967
"Noumea, New Caledonia","Nukualofa, Tonga Islands",1059
"Noumea, New Caledonia","Pago Pago, American Samoa",1416
"Noumea, New Caledonia","Panama, Panama",6982
"Noumea, New Caledonia","Papeete, Tahiti, French Polynesia",2497
"Noumea, New Caledonia","Petropavlovsk- Kamchatskiy, Russia",4587
"Noumea, New Caledonia","Ponape, Caroline Islands",1892
"Noumea, New Caledonia","Port Augusta, Australia",2179
"Noumea, New Caledonia","Port Chalmers, New Zealand",1545
"Noumea, New Caledonia","Punta Arenas, Chile",5527
"Noumea, New Caledonia","Qingdao, China",4416
"Noumea, New Caledonia","Rabaul, Papua New Guinea",1383
"Noumea, New Caledonia","Raoul Island, Kermadec Islands",957
"Noumea, New Caledonia","Rockhampton, Australia",902
"Noumea, New Caledonia","Rotoava, Iles Tuamotu",2737
"Noumea, New Caledonia","San Diego, California, United States",5491
"Noumea, New Caledonia","San Francisco, California, United States",5410
"Noumea, New Caledonia","Seattle, Washington, United States",5760
"Noumea, New Caledonia","Shanghai, China",4185
"Noumea, New Caledonia","Sitka, Alaska, United States",5613
"Noumea, New Caledonia","Suva, Fiji Islands",734
"Noumea, New Caledonia","Sydney, Australia",1069
"Noumea, New Caledonia","Torres Strait, Australia",1622
"Noumea, New Caledonia","Townsville, Australia",1155
"Noumea, New Caledonia","Truk, Caroline Islands",2068
"Noumea, New Caledonia","Valparaiso, Chile",6115
"Noumea, New Caledonia","Vladivostok, Russia",4590
"Noumea, New Caledonia",Wake Island,2551
"Noumea, New Caledonia","Wallaroo, Australia",2099
"Noumea, New Caledonia","Wotje Island, Marshall Islands",1972
"Noumea, New Caledonia","Xiamen, China",4031
"Noumea, New Caledonia","Yap, Caroline Islands",2568
"Noumea, New Caledonia","Yokohama, Japan",3837
"Noumea, Newcaledonia","Apia, Samoa",1371
"Noumea, Newcaledonia","Apra, Guam",2528
"Noumea, Newcaledonia","Auckland, New Zealand",998
"Noumea, Newcaledonia","Avarua, Cook Islands",1887
"Noumea, Newcaledonia","Baie Taio-Hae, Marquesa Islands",3183
"Noumea, Newcaledonia",Baker Island,1707
"Noumea, Newcaledonia","Bowen, Australia",1342
"Noumea, Newcaledonia","Brisbane, Australia",807
"Noumea, Newcaledonia","Cairns Harbor, Australia",1250
"Noumea, Newcaledonia","Callao, Peru",6541
"Noumea, Newcaledonia","Dagu, China",4667
"Noumea, Newcaledonia","Dunedin, New Zealand",1552
"Noumea, Newcaledonia","Dutch Harbor, Alaska, United States",4857
"Noumea, Newcaledonia","Funafuti, Tuvalu",1132
"Noumea, Newcaledonia","Guayaquil, Ecuador",6686
"Noumea, Newcaledonia","Hakodate, Japan",4176
"Noumea, Newcaledonia","Hobart, Tasmania",1604
"Noumea, Newcaledonia",Hong Kong,4107
"Noumea, Newcaledonia","Honolulu, Hawaii, United States",3371
"Noumea, Newcaledonia","Kodiak, Alaska, United States",5281
"Noumea, Newcaledonia","Lae, Papua New Guinea",1519
"Noumea, Newcaledonia","Lele, Caroline Islands",1722
"Noumea, Newcaledonia","Levuka, Fiji Islands",776
"Noumea, Newcaledonia","Los Angeles, California, United States",5521
"Noumea, Newcaledonia","Mackay, Australia",1253
"Noumea, Newcaledonia","Malakal, Palau Islands",2612
"Noumea, Newcaledonia","Manila, Philippines",3616
"Noumea, Newcaledonia","Melbourne, Australia",1595
"Noumea, Newcaledonia",Midway Island,3207
"Noumea, Newcaledonia","Nagasaki, Japan",3967
"Noumea, Newcaledonia","Nukualofa, Tonga Islands",1059
"Noumea, Newcaledonia","Pago Pago, American Samoa",1416
"Noumea, Newcaledonia","Panama, Panama",6982
"Noumea, Newcaledonia","Papeete, French Polynesia",2497
"Noumea, Newcaledonia","Petropavlovsk-Kamchatskiy, Russia",4587
"Noumea, Newcaledonia","Ponape, Caroline Islands",1892
"Noumea, Newcaledonia","Port Augusta, Australia",2179
"Noumea, Newcaledonia","Punta Arenas, Chile",5527
"Noumea, Newcaledonia","Qingdao, China",4416
"Noumea, Newcaledonia","Rabaul, Papua New Guinea",1383
"Noumea, Newcaledonia","Raoul, Kermadec Islands",957
"Noumea, Newcaledonia","Rockhampton, Australia",902
"Noumea, Newcaledonia","Rotoava, Iles Tuamotu",2737
"Noumea, Newcaledonia","San Diego, California, United States",5491
"Noumea, Newcaledonia","San Francisco, California, United States",5410
"Noumea, Newcaledonia","Seattle, Washington, United States",5760
"Noumea, Newcaledonia","Shanghai, China",4185
"Noumea, Newcaledonia","Sitka, Alaska, United States",5613
"Noumea, Newcaledonia","Suva, Fiji Islands",734
"Noumea, Newcaledonia","Sydney, Australia",1069
"Noumea, Newcaledonia","Talomako, Vanuatu",524
"Noumea, Newcaledonia","Torres Strait, Australia",1622
"Noumea, Newcaledonia","Townsville, Australia",1155
"Noumea, Newcaledonia","Truk, Caroline Islands",2068
"Noumea, Newcaledonia","Valparaiso, Chile",6115
"Noumea, Newcaledonia","Vladivostok, Russia",4590
"Noumea, Newcaledonia",Wake Island,2551
"Noumea, Newcaledonia","Wallaroo, Australia",2099
"Noumea, Newcaledonia","Wotje Island, Marshall Islands",1972
"Noumea, Newcaledonia","Xiamen, China",4031
"Noumea, Newcaledonia","Yap Island, Caroline Islands",2568
"Noumea, Newcaledonia","Yokohama, Japan",3837
"Novorossiysk, Russia","Bat’Umi, Georgia",255
"Novorossiysk, Russia","Burgas, Bulgaria",476
"Novorossiysk, Russia","Constanta, Romania",403
"Novorossiysk, Russia","Istanbul, Turkey",460
"Novorossiysk, Russia","Odessa, Ukraine",369
"Novorossiysk, Russia","Port Said, Egypt",1260
"Novorossiysk, Russia",Strait Of Gibraltar,2260
"Novorossiysk, Russia","Thessaloniki, Greece",794
"Novorossiysk, Russia","Zueitina, Libya",1240
"Nuevitas, Cuba","Abraham Bay, Bahamas",243
"Nuevitas, Cuba","Abraham Bay, Mayaguana Island, Bahamas",243
"Nuevitas, Cuba","Bahia De Samana, Dominican Republic",510
"Nuevitas, Cuba","Baltimore, Maryland, United States",1187
"Nuevitas, Cuba","Boston, Massachusetts, United States",1447
"Nuevitas, Cuba","Caibarien, Cuba",181
"Nuevitas, Cuba","Casilda, Cuba",610
"Nuevitas, Cuba","Charleston, South Carolina, United States",750
"Nuevitas, Cuba","Cienfuegos, Cuba",649
"Nuevitas, Cuba","Fort De France, Martinique",1035
"Nuevitas, Cuba","Fort Liberte, Haiti",339
"Nuevitas, Cuba","Fort-Liberate, Haiti",339
"Nuevitas, Cuba","Gibara, Cuba",82
"Nuevitas, Cuba","Guantanamo, Cuba",284
"Nuevitas, Cuba","Hamilton, Bermuda",988
"Nuevitas, Cuba","Hopetown, Bahamas",452
"Nuevitas, Cuba","Isabel De Sagua, Cuba",212
"Nuevitas, Cuba","Key West, Florida, United States",331
"Nuevitas, Cuba","Kingston, Jamaica",448
"Nuevitas, Cuba","La Habana, Cuba",344
"Nuevitas, Cuba","Manzanillo, Cuba",531
"Nuevitas, Cuba","Mariel, Cuba",366
"Nuevitas, Cuba","Miller Anchorage, Bahamas",363
"Nuevitas, Cuba","Miller Anchorage, Eleuthera Island, Bahamas",363
"Nuevitas, Cuba","Moa, Cuba",154
"Nuevitas, Cuba","Nassau, Bahamas",454
"Nuevitas, Cuba","Nassau, Bahamas",454
"Nuevitas, Cuba","New York, New York, United States",1264
"Nuevitas, Cuba","Nicaro, Cuba",132
"Nuevitas, Cuba","Norfolk, Virginia, United States",1064
"Nuevitas, Cuba","Philadelphia, Pennsylvania, United States",1235
"Nuevitas, Cuba","Port Antonio, Jamaica",398
"Nuevitas, Cuba","Port Arthur, Texas, United States",1055
"Nuevitas, Cuba","Port Au Prince, Haiti",348
"Nuevitas, Cuba","Puerto Cayo Mao, Cuba",154
"Nuevitas, Cuba","Puerto Vita, Cuba",90
"Nuevitas, Cuba","San Juan, Puerto Rico",663
"Nuevitas, Cuba","Santa Lucia, Cuba",447
"Nuevitas, Cuba","Santo Domingo, Dominican Republic",632
"Nuevitas, Cuba","St. Marc, Haiti",306
"Nuevitas, Cuba","Straits Of Florida, United States",386
"Nuevitas, Cuba",Yucatan Channel,528
"Nukualafa, Tonga Islands","Honolulu, Hawaii, United States",2749
"Nukualofa, Tonga Islands","Apia, Samoa",509
"Nukualofa, Tonga Islands","Apra, Guam",3202
"Nukualofa, Tonga Islands","Apra, Guam, Mariana Islands",3202
"Nukualofa, Tonga Islands","Auckland, New Zealand",1099
"Nukualofa, Tonga Islands","Brisbane, Australia",1827
"Nukualofa, Tonga Islands","Burnie Harbor, Australia",2318
"Nukualofa, Tonga Islands","Fremantle, Australia",3970
"Nukualofa, Tonga Islands","Geelong, Australia",2420
"Nukualofa, Tonga Islands","Hobart, Tasmania",2328
"Nukualofa, Tonga Islands","Honolulu, Hawaii, United States",2749
"Nukualofa, Tonga Islands","Los Angeles, California, United States",4633
"Nukualofa, Tonga Islands","Noumea, New Caledonia",1059
"Nukualofa, Tonga Islands","Noumea, Newcaledonia",1059
"Nukualofa, Tonga Islands","Pago Pago, American Samoa",490
"Nukualofa, Tonga Islands","Panama, Panama",5953
"Nukualofa, Tonga Islands","Papeete, French Polynesia",1468
"Nukualofa, Tonga Islands","Papeete, Tahiti, French Polynesia",1468
"Nukualofa, Tonga Islands","Ponape, Caroline Islands",2341
"Nukualofa, Tonga Islands","Port Kembla, Australia",1981
"Nukualofa, Tonga Islands","Suva, Fiji Islands",416
"Nuuk, Greenland","Churchill, Canada",1331
"Nuuk, Greenland","Murmansk, Russia",2598
"Nuuk, Greenland","Pentland Firth, Scotland",1630
"Nuuk, Greenland","Reykjavik, Iceland",1076
"Nuuk, Greenland","St. John’S, Canada",1005
"Nuuk, Greenland",Strait Of Gibraltar,2477
Ocean Island,"Honolulu, Hawaii, United States",2480
Ocean Island,"Honolulu, Hawaii, United States",2480
Ocean Island,"Los Angeles, California, United States",4553
Ocean Island,"Los Angeles, California, United States",4553
Ocean Island,"Pago Pago, American Samoa",1409
Ocean Island,"Pago Pago, American Samoa",1409
Ocean Island,"Panama, Panama",6724
Ocean Island,"Panama, Panama",6724
Ocean Island,"Papeete, French Polynesia",2609
Ocean Island,"Papeete, Tahiti, French Polynesia",2609
Ocean Island,"San Francisco, California, United States",4406
Ocean Island,"San Francisco, California, United States",4406
Ocean Island,"Seattle, Washington, United States",4611
Ocean Island,"Seattle, Washington, United States",4611
Ocean Island,"Suva, Fiji Islands",1207
Ocean Island,"Suva, Fiji Islands",1207
Ocean Island,"Sydney, Australia",2233
Ocean Island,"Yokohama, Japan",2761
Ocean Island,"Yokohama, Japan",2761
"Odense, Denmark","Gdynia, Poland",438
"Odense, Denmark","Hudiksvall, Sweden",701
"Odense, Denmark","Karlshamn, Sweden",282
"Odense, Denmark","Nord-Ostsee-Kanal, Germany",117
"Odense, Denmark","Skagens Odde, Denmark",126
"Odense, Denmark","Skelleftehamn, Sweden",883
"Odense, Denmark","Stockholm, Sweden",609
"Odense, Denmark","Swinoujscie, Poland",293
"Odense, Denmark","Varberg, Sweden",130
"Odessa, Ukraine","Alexandria, Egypt",1090
"Odessa, Ukraine","Algiers, Algeria",1741
"Odessa, Ukraine","Alicante, Spain",1908
"Odessa, Ukraine","Ancona, Italy",1310
"Odessa, Ukraine","Annaba, Algeria",1516
"Odessa, Ukraine","Banghazi, Libya",1064
"Odessa, Ukraine","Banzart, Tunisia",1411
"Odessa, Ukraine","Barcelona, Spain",1737
"Odessa, Ukraine","Bari, Italy",1103
"Odessa, Ukraine","Bat’Umi, Georgia",569
"Odessa, Ukraine","Beirut, Lebanon",1194
"Odessa, Ukraine","Brindisi, Italy",1142
"Odessa, Ukraine","Cartagena, Spain",1932
"Odessa, Ukraine","Ceuta, Morocco",2150
"Odessa, Ukraine","Civitavecchia, Italy",1414
"Odessa, Ukraine","Constanta, Romania",186
"Odessa, Ukraine","Genova, Italy",1598
"Odessa, Ukraine",Gibraltar,2135
"Odessa, Ukraine","Haifa, Israel",1197
"Odessa, Ukraine","Iraklion, Kriti",793
"Odessa, Ukraine","Istanbul, Turkey",352
"Odessa, Ukraine","Izmir, Turkey",640
"Odessa, Ukraine","La Spezia, Italy",1562
"Odessa, Ukraine","Livorno, Italy",1527
"Odessa, Ukraine","Malaga, Spain",2100
"Odessa, Ukraine","Malga, Spain",2100
"Odessa, Ukraine","Marseille, France",1690
"Odessa, Ukraine","Messina, Sicily",1116
"Odessa, Ukraine","Messina, Sicily, Italy",1116
"Odessa, Ukraine","Napoli, Italy",1288
"Odessa, Ukraine","Novorossiysk, Russia",369
"Odessa, Ukraine","Oran, Algeria",1938
"Odessa, Ukraine","Palermo, Sicily",1232
"Odessa, Ukraine","Palermo, Sicily, Italy",1232
"Odessa, Ukraine","Palma, Balearic Islands",1751
"Odessa, Ukraine","Piraievs, Greece",712
"Odessa, Ukraine","Port Said, Egypt",1152
"Odessa, Ukraine","Rijeka, Croatia",1377
"Odessa, Ukraine","Savona, Italy",1608
"Odessa, Ukraine","Sibenik, Croatia",1250
"Odessa, Ukraine","Siracusa, Sicily",1120
"Odessa, Ukraine","Siracusa, Sicily, Italy",1120
"Odessa, Ukraine","Split, Croatia",1235
"Odessa, Ukraine",Strait Of Gibraltar,2169
"Odessa, Ukraine","Tarabulus, Libya",1301
"Odessa, Ukraine","Taranto, Italy",1065
"Odessa, Ukraine","Thessaloniki, Greece",686
"Odessa, Ukraine","Toulon, France",1658
"Odessa, Ukraine","Trieste, Italy",1411
"Odessa, Ukraine","Tunis, Tunisia",1399
"Odessa, Ukraine","Valencia, Spain",1876
"Odessa, Ukraine","Valletta, Malta",1185
"Odessa, Ukraine","Venezia, Italy",1421
"Odessa, Ukraine","Volos, Greece",677
"Oita, Japan","Aomori, Japan",773
"Oita, Japan","Hiroshima, Japan",92
"Oita, Japan","Kobe, Japan",214
"Oita, Japan","Kokura, Japan",86
"Oita, Japan","Nagoya, Japan",381
"Oita, Japan","Panama, Panama",8101
"Oita, Japan","Punta Arenas, Chile",9485
"Oita, Japan","Selat Lombok, Indonesia",2843
"Oita, Japan","Shimonoseki, Japan",81
"Oita, Japan",Singapore,2556
"Oita, Japan","Ube, Japan",69
"Oita, Japan","Yokohama, Japan",489
"Oita, Japan","Yokoshima, Japan",116
"Oita, Japan","Yokosuka, Japan",483
"Okha, India","Bombay, India",341
"Okha, India","Colombo, Sri Lanka",1183
"Okha, India","Garmgao, India",533
"Okha, India","Honawar, India",579
"Okha, India","Karachi, Pakistan",194
"Okha, India","Marmagao, India",533
"Okha, India","New Mangalore, India",659
"Okha, India","Port Said, Egypt",2887
"Okha, India","Veraval, India",215
"Okha, Sakhalin, Russia","Bukhta, Nagayeva, Russia",441
"Okha, Sakhalin, Russia","Nikolayevsk-Na-Amure, Russia",209
"Olbia, Sardinia","Banzart, Tunisia",236
"Olbia, Sardinia","Genova, Italy",221
"Olbia, Sardinia","Napoli, Italy",222
"Olbia, Sardinia","Port Said, Egypt",1278
"Olbia, Sardinia",Strait Of Gibraltar,828
"Olongapo, Philippines","Apra, Guam",1663
"Olongapo, Philippines","Apra, Guam, Mariana Islands",1663
"Olongapo, Philippines","Ho Chi Minh, Vietnam",872
"Olongapo, Philippines",Hong Kong,580
"Olongapo, Philippines","Kuching, Sarawak",992
"Olongapo, Philippines","Pago Pago, American Samoa",4622
"Olongapo, Philippines",Singapore,1335
"Omura, Bonin Islands","Brisbane, Australia",3455
"Omura, Japan","Panama, Panama",7766
"Oostende, Belgium","Aberdeen, Scotland",406
"Oostende, Belgium","Amsterdam, Netherlands",117
"Oostende, Belgium","Antwerp, Belgium",79
"Oostende, Belgium","Bergen, Norway",563
"Oostende, Belgium","Bishop Rock, England",400
"Oostende, Belgium","Bremerhaven, Germany",299
"Oostende, Belgium","Cherbourg, France",203
"Oostende, Belgium","Dundee, Scotland",398
"Oostende, Belgium","Egersund, Norway",447
"Oostende, Belgium","Emden, Germany",242
"Oostende, Belgium","Esbjerg, Denmark",328
"Oostende, Belgium","Hartlepool, England",265
"Oostende, Belgium","Hull, England",207
"Oostende, Belgium","Ile D’Ouessant, France",365
"Oostende, Belgium","Inverness, Scotland",510
"Oostende, Belgium","King’S Lynn, England",206
"Oostende, Belgium","Kristiansand, Norway",453
"Oostende, Belgium","Le Havre, France",168
"Oostende, Belgium","Leith, Scotland",396
"Oostende, Belgium","London, England",123
"Oostende, Belgium","Montrose, Scotland",393
"Oostende, Belgium","Newcastle, England",291
"Oostende, Belgium","Nord-Ostsee-Kanal, Germany",364
"Oostende, Belgium","Oslo, Norway",596
"Oostende, Belgium","Pentland Firth, Scotland",509
"Oostende, Belgium","Plymouth, England",288
"Oostende, Belgium","Poole, England",193
"Oostende, Belgium","Portland, England",214
"Oostende, Belgium","Portsmouth, England",174
"Oostende, Belgium","Rotterdam, Netherlands",86
"Oostende, Belgium","Skagens Odde, Denmark",489
"Oostende, Belgium","Southampton, England",192
"Oostende, Belgium","Stavanger, Norway",488
"Oostende, Belgium","Wilhelmshaven, Germany",286
"Oporto, Portugal","Cadiz, Spain",399
"Oporto, Portugal","Conakry, Guinea",2105
"Oporto, Portugal","Dakar, Senegal",1682
"Oporto, Portugal","Freetown, Sierra Leone",2161
"Oporto, Portugal","Funchal, Madeira Island",650
"Oporto, Portugal","Ile D’Ouessant, France",494
"Oporto, Portugal","Lisboa, Portugal",176
"Oporto, Portugal","New York, New York, United States",2923
"Oporto, Portugal","Ponta Delgada, Azores",815
"Oporto, Portugal","Puerto De Pasajes, Spain",473
"Oporto, Portugal","Santa Cruz De Tenerife, Canary Islands",849
"Oporto, Portugal",Strait Of Gibraltar,432
"Oporto, Portugal","Vigo, Spain",74
"Opua, New Zealand","Auckland, New Zealand",115
"Opua, New Zealand","Chimbote, Peru",5911
"Opua, New Zealand","Hobart, Tasmania",1431
"Opua, New Zealand","Honolulu, Hawaii, United States",3753
"Opua, New Zealand","Los Angeles, California, United States",5625
"Opua, New Zealand","Panama, Panama",6675
"Opua, New Zealand","Punta Arenas, Chile",4760
"Opua, New Zealand","Seattle, Washington, United States",6218
"Opua, New Zealand","Torres Strait, Australia",2472
"Opua, New Zealand","Wilson Promontory, Australia",1419
"Opua, New Zealand","Yokohama, Japan",4742
"Oran, Algeria","Alcudia, Balearic Islands",281
"Oran, Algeria","Alexandria, Egypt",1590
"Oran, Algeria","Algeciras, Spain",229
"Oran, Algeria","Algiers, Algeria",205
"Oran, Algeria","Alicante, Spain",159
"Oran, Algeria","Ancona, Italy",1349
"Oran, Algeria","Annaba, Algeria",444
"Oran, Algeria","Argostolion, Greece",1058
"Oran, Algeria","Ayios Nikolaos, Greece",791
"Oran, Algeria","Banghazi, Libya",1124
"Oran, Algeria","Banzart, Tunisia",538
"Oran, Algeria","Barcelona, Spain",365
"Oran, Algeria","Bari, Italy",1142
"Oran, Algeria","Beirut, Lebanon",1803
"Oran, Algeria","Brindisi, Italy",1084
"Oran, Algeria","Cagliari, Sardinia",525
"Oran, Algeria","Cannes, France",594
"Oran, Algeria","Cartagena, Spain",115
"Oran, Algeria","Ceuta, Morocco",232
"Oran, Algeria","Civitavecchia, Italy",703
"Oran, Algeria","Fiumicino, Italy",710
"Oran, Algeria","Gemlick, Turkey",1580
"Oran, Algeria","Genova, Italy",686
"Oran, Algeria",Gibraltar,237
"Oran, Algeria","Haifa, Israel",1800
"Oran, Algeria","Iraklion, Kriti",1284
"Oran, Algeria","Istanbul, Turkey",1573
"Oran, Algeria","Izmir, Turkey",1418
"Oran, Algeria","Koper, Slovenia",1432
"Oran, Algeria","La Spezia, Italy",701
"Oran, Algeria","Livorno, Italy",691
"Oran, Algeria","Malaga, Spain",195
"Oran, Algeria","Marseille, France",536
"Oran, Algeria","Melilla, Morocco",120
"Oran, Algeria","Messina, Sicily",818
"Oran, Algeria","Messina, Sicily, Italy",818
"Oran, Algeria","Napoli, Italy",775
"Oran, Algeria","Odessa, Ukraine",1939
"Oran, Algeria","Palermo, Sicily",709
"Oran, Algeria","Palermo, Sicily, Italy",709
"Oran, Algeria","Palma, Balearic Islands",281
"Oran, Algeria","Piraievs, Greece",1219
"Oran, Algeria","Port Said, Egypt",1711
"Oran, Algeria","Rijeka, Croatia",1417
"Oran, Algeria","Savona, Italy",672
"Oran, Algeria","Sibenik, Croatia",1290
"Oran, Algeria","Siracusa, Sicily",823
"Oran, Algeria","Siracusa, Sicily, Italy",823
"Oran, Algeria","Skikda, Algeria",398
"Oran, Algeria","Skikid, Algeria",398
"Oran, Algeria","Split, Croatia",1275
"Oran, Algeria","St. Louis Du Rhone, France",537
